X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
2716N: Security Apparatus - Fund for Peace,2716: Security Apparatus - Fund for Peace,0.86519,-0.11388177,0.039960027,0.86044,6.228819,0.98948056
2716N: Security Apparatus - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0.68629,-0.18186384,0.05218005,0.68629,6.2094536,0.93174773
2716N: Security Apparatus - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0.6411,-0.15920049,0.05031997,0.64109,6.2479277,-0.89459515
2716N: Security Apparatus - Fund for Peace,2715: Human Rights - Fund for Peace,0.61023,-0.15019977,0.06648001,0.61023,5.523562,0.87202626
2716N: Security Apparatus - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0.59622,-0.1864534,0.035669982,0.59622,6.2094536,0.8846883
2716N: Security Apparatus - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0.59203,0.049322188,0.06602001,0.59203,5.807355,-0.73668706
2716N: Security Apparatus - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0.58723,0.033024013,0.057930052,0.58723,5.9068904,-0.74445015
2716N: Security Apparatus - Fund for Peace,2717: Factionalized Elites - Fund for Peace,0.57168,-0.20647335,0.038750023,0.56866,6.2479277,0.88213
2716N: Security Apparatus - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,0.56834,0.023402572,0.07714999,0.56834,5.9068904,-0.73819876
2716N: Security Apparatus - Fund for Peace,2714: Public Services - Fund for Peace,0.56598,-0.10309255,0.061069995,0.56487,6.2479277,0.81796855
2716N: Security Apparatus - Fund for Peace,2708: Demographic Pressures - Fund for Peace,0.56015,-0.08141476,0.03274998,0.55708,6.2479277,0.8009774
2716N: Security Apparatus - Fund for Peace,2710: Group Grievance - Fund for Peace,0.50357,-0.17519218,0.025169998,0.50347,6.2479277,0.82387024
2716N: Security Apparatus - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,0.50264,0.0044051707,0.0661,0.50264,6.129283,-0.7058575
2716N: Security Apparatus - Fund for Peace,2704: Corruption perceptions index - Transparency,0.49914,-0.18665722,0.03753999,0.49914,6.169925,-0.82812876
2716N: Security Apparatus - Fund for Peace,2711: Uneven Development - Fund for Peace,0.49697,-0.13080674,0.03561002,0.49497,6.2479277,0.79232365
2716N: Security Apparatus - Fund for Peace,0379: Electric power consumption  (kWh per capita) - WDI,0.48581,0.16041991,0.070960015,0.48203,6.044394,-0.57042974
2716N: Security Apparatus - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,0.48481,0.027232796,0.021630019,0.48481,6.2479277,-0.67644453
2716N: Security Apparatus - Fund for Peace,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0.48446,0.15120926,0.07485002,0.48377,6.129283,-0.57727873
2716N: Security Apparatus - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,0.47989,0.15281832,0.055669993,0.47989,6.2094536,-0.5719018
2716N: Security Apparatus - Fund for Peace,0781: Adjusted net national income per capita  (current US$) - WDI,0.46934,-0.041023523,0.03493002,0.46934,6.087463,-0.7143973
2716N: Security Apparatus - Fund for Peace,0028: Surface area  (sq. km) - WDI,0.46784,0.46770725,0.33937997,0.46784,6.2479277,-0.011521748
2716N: Security Apparatus - Fund for Peace,0952: School enrollment; secondary  (% gross) - WDI,0.46718,0.055940896,0.059920013,0.46583,6.0,-0.6412793
2716N: Security Apparatus - Fund for Peace,2718: External Intervention - Fund for Peace,0.46637,-0.15711892,0.030289978,0.46637,6.169925,0.7896131
2716N: Security Apparatus - Fund for Peace,0953: School enrollment; secondary; female  (% gross) - WDI,0.46385,0.05235213,0.06461999,0.46385,5.9541965,-0.641481
2716N: Security Apparatus - Fund for Peace,0020: Land area  (sq. km) - WDI,0.46378,0.46373218,0.34118,0.46378,6.2479277,-0.006914592
2716N: Security Apparatus - Fund for Peace,1025: Number of neonatal deaths - WDI,0.46231,0.42838684,0.10918999,0.46231,6.2479277,0.18418236
2716N: Security Apparatus - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0.46116,-0.055556893,0.061879992,0.46116,6.129283,-0.7188302
2716N: Security Apparatus - Fund for Peace,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,0.45883,0.14299896,0.04139,0.45883,6.2479277,0.5619885
2716N: Security Apparatus - Fund for Peace,1283: Mortality rate; infant  (per 1;000 live births) - WDI,0.45595,0.091837734,0.037960023,0.45595,6.2479277,0.60341716
2716N: Security Apparatus - Fund for Peace,1297: Population ages 65 and above  (% of total) - WDI,0.4544,0.018567055,0.07631001,0.4544,6.2094536,-0.66017646
