X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
2713N: Legitimacy of the State - Fund for Peace - 2,2713: Legitimacy of the State - Fund for Peace - 1708,0.91825,-0.05651921,0.039680004,0.91825,4.321928,0.98730403
2713N: Legitimacy of the State - Fund for Peace - 2,2706: Failed States Index Rank - Fund for Peace - 1701,0.76532,-0.020681143,0.11641002,0.74192,4.4594316,-0.88656706
2713N: Legitimacy of the State - Fund for Peace - 2,2707: Failed States Index Total - Fund for Peace - 1702,0.74338,-0.12659663,0.10012001,0.72837,4.4594316,0.93272537
2713N: Legitimacy of the State - Fund for Peace - 2,2715: Human Rights - Fund for Peace - 1710,0.73339,-0.12767583,0.033600032,0.72799,4.4594316,0.9279363
2713N: Legitimacy of the State - Fund for Peace - 2,2717: Factionalized Elites - Fund for Peace - 1712,0.72425,-0.09308052,0.05997002,0.71763,4.4594316,0.90406334
2713N: Legitimacy of the State - Fund for Peace - 2,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI - 714,0.65369,0.017667234,0.07876998,0.63875,4.169925,-0.7975103
2713N: Legitimacy of the State - Fund for Peace - 2,2704: Corruption perceptions index - Transparency - 1699,0.64464,-0.13678783,0.060440034,0.64464,4.321928,-0.8839841
2713N: Legitimacy of the State - Fund for Peace - 2,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI - 609,0.62815,-0.046540916,0.059789985,0.59822,4.169925,-0.8213957
2713N: Legitimacy of the State - Fund for Peace - 2,2716: Security Apparatus - Fund for Peace - 1711,0.62507,-0.1799202,0.06069997,0.62234,4.4594316,0.89721245
2713N: Legitimacy of the State - Fund for Peace - 2,0642: Secure Internet servers  (per 1 million people) - WDI - 583,0.60904,0.09426367,0.053380013,0.60904,4.321928,-0.71747917
2713N: Legitimacy of the State - Fund for Peace - 2,0832: GNI per capita  (constant 2005 US$) - WDI - 764,0.60479,-0.027349174,0.06111002,0.58972,4.169925,-0.7950718
2713N: Legitimacy of the State - Fund for Peace - 2,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI - 404,0.5778,0.12860239,0.07718998,0.5778,4.321928,-0.67022204
2713N: Legitimacy of the State - Fund for Peace - 2,2708: Demographic Pressures - Fund for Peace - 1703,0.56499,-0.10323393,0.07597998,0.56499,3.5849626,0.8174496
2713N: Legitimacy of the State - Fund for Peace - 2,1098: Health expenditure per capita  (current US$) - WDI - 1013,0.5506,-0.06145662,0.11906999,0.5506,3.321928,-0.78234047
2713N: Legitimacy of the State - Fund for Peace - 2,0978: School enrollment; tertiary  (% gross) - WDI - 908,0.54649,0.05458352,0.08197999,0.53432,4.169925,-0.70136046
2713N: Legitimacy of the State - Fund for Peace - 2,0781: Adjusted net national income per capita  (current US$) - WDI - 713,0.54474,-0.07724577,0.07814002,0.54474,4.169925,-0.78866076
2713N: Legitimacy of the State - Fund for Peace - 2,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU - 1659,0.53903,-0.14077264,0.056199998,0.53903,3.5849626,-0.82450145
2713N: Legitimacy of the State - Fund for Peace - 2,1285: Life expectancy at birth; female  (years) - WDI - 1190,0.53853,0.11436632,0.054289997,0.53853,4.321928,-0.6512785
2713N: Legitimacy of the State - Fund for Peace - 2,2714: Public Services - Fund for Peace - 1709,0.53833,-0.13113981,0.05416,0.53833,4.321928,0.8182114
2713N: Legitimacy of the State - Fund for Peace - 2,0759: Services; etc.; value added  (% of GDP) - WDI - 691,0.53818,0.17646533,0.12805,0.52769,4.321928,-0.6014272
2713N: Legitimacy of the State - Fund for Peace - 2,0640: Fixed broadband subscriptions  (per 100 people) - WDI - 581,0.53792,-0.14077836,0.05186999,0.53792,3.5849626,-0.8238315
2713N: Legitimacy of the State - Fund for Peace - 2,2710: Group Grievance - Fund for Peace - 1705,0.52813,-0.04064983,0.038840026,0.51335,4.4594316,0.75417495
2713N: Legitimacy of the State - Fund for Peace - 2,0810: GDP per capita  (constant 2005 US$) - WDI - 742,0.52626,-0.039230704,0.04225999,0.52626,4.321928,-0.75199115
2713N: Legitimacy of the State - Fund for Peace - 2,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI - 1320,0.52576,-0.07872033,0.062110007,0.52576,4.169925,-0.77748334
2713N: Legitimacy of the State - Fund for Peace - 2,1414: Account at a financial institution; female  (% age 15+) - WDI - 1319,0.52275,-0.09163594,0.05234003,0.52275,4.169925,-0.7838278
2713N: Legitimacy of the State - Fund for Peace - 2,0830: GNI per capita; Atlas method  (current US$) - WDI - 762,0.51884,-0.06468886,0.10482997,0.51884,4.321928,-0.7638906
2713N: Legitimacy of the State - Fund for Peace - 2,0643: Internet users  (per 100 people) - WDI - 584,0.51488,-0.10124302,0.06507,0.49977,4.4594316,-0.78493506
