Year,Mean Absolute Error,Time Spent (s),Error for each fold
1997,-9.8001843872693346,0.937000036239624,[ -9.70478518  -9.98250142 -10.39389444 -10.44897233  -8.47076857]
1998,-4.4725155578393796,0.9980001449584961,[-4.86580229 -5.23128428 -4.70835501 -3.49741973 -4.05971648]
1999,-3.8333209332840754,0.9659998416900635,[-4.76779881 -3.15375733 -2.43893837 -4.42832452 -4.37778564]
2000,-4.0750461980544781,1.2030000686645508,[-5.18809473 -4.20310938 -3.86977219 -4.29125645 -2.82299825]
2001,-3.8983599997155904,1.059999942779541,[-4.86781772 -4.3610897  -3.80449028 -3.66650591 -2.79189639]
2002,-4.7963411752721408,1.064000129699707,[-4.72225415 -4.86184685 -4.90938196 -4.98145987 -4.50676305]
2003,-4.0004537797763504,1.0409998893737793,[-5.00576397 -3.53949062 -3.5776989  -3.38996674 -4.48934867]
2004,-2.9728274555926548,1.1059999465942383,[-3.12729776 -3.26449513 -3.1059815  -2.73096151 -2.63540138]
2005,-3.2839880835645019,1.4100000858306885,[-3.45815879 -3.29847789 -3.47353356 -2.99681478 -3.19295539]
2006,-4.0113634163451639,1.3889999389648438,[-3.72611865 -3.57252316 -4.41494916 -3.45481636 -4.88840975]
2007,-3.1550948537599162,1.3610000610351562,[-3.59657778 -3.09546706 -2.4625467  -3.39590655 -3.22497619]
2008,-3.1272143937693295,1.4010000228881836,[-3.43478602 -3.15900946 -3.15356348 -3.60045667 -2.28825633]
2009,-2.6448522225086686,1.4119999408721924,[-3.04991801 -2.45228116 -2.80019456 -2.95226957 -1.96959782]
2010,-3.4787207549180734,1.689000129699707,[-3.97054498 -3.25235349 -2.83635976 -3.73004984 -3.60429571]
2011,-3.3737613388120939,1.437999963760376,[-3.57223686 -3.33121466 -3.04536156 -2.9802754  -3.93971821]
2012,-2.7558658044591273,1.36899995803833,[-2.03105398 -2.95547675 -2.91227441 -2.53953844 -3.34098544]
2013,-2.5364918041468267,1.3440001010894775,[-2.66605694 -2.4866671  -1.91541291 -2.67982466 -2.93449742]
2014,-2.4649596021089706,1.2569999694824219,[-2.44274914 -2.7597102  -2.2898308  -2.58699341 -2.24551447]
