Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-6.1601920642119845,1.1710000038146973,[-6.46223438 -5.53687346 -5.6716555  -6.43003733 -6.70015965]
2005,-8.86143680373244,1.503000020980835,[ -8.36862092  -7.50378518  -8.00691198 -11.83239926  -8.59546668]
2006,-4.1239506031295559,1.5940001010894775,[-4.44260789 -3.10710504 -4.85171716 -4.86663627 -3.35168665]
2007,-2.2511447612383741,1.5269999504089355,[-1.89723216 -1.87796889 -2.26043894 -2.71785628 -2.50222753]
2008,-2.2867558288316436,1.5290000438690186,[-1.65853302 -2.29580128 -2.34941125 -2.40406258 -2.72597101]
2009,-2.0334179594964241,1.6099998950958252,[-1.68787505 -1.97077    -1.880456   -2.08081668 -2.54717207]
2010,-2.5111911923862005,1.7980000972747803,[-1.73022383 -2.12457279 -2.80702855 -2.64810968 -3.24602112]
2011,-2.3589738178748489,1.6299998760223389,[-1.40976017 -1.84318962 -2.47629388 -2.70968812 -3.35593731]
2012,-2.3659068050016905,1.6460001468658447,[-1.70009101 -1.73537791 -2.56690124 -2.36775808 -3.45940579]
2013,-1.87145547437339,1.4579999446868896,[-1.5371476  -1.84471924 -1.80797428 -1.91393236 -2.25350389]
2014,-2.2747270468124734,1.430999994277954,[-1.63864368 -2.10435483 -2.07911122 -2.57714063 -2.97438487]
