Year,Mean Absolute Error,Time Spent (s),Error for each fold
2005,-1.5526128637883925,1.3499999046325684,[-1.91843147 -1.62490189 -1.56874226 -1.52911191 -1.12187678]
2006,-1.1364753017207572,1.3440001010894775,[-1.19785328 -1.02619615 -1.2790266  -1.11399141 -1.06530906]
2007,-0.96254554902590894,1.3199999332427979,[-1.01056177 -0.9421438  -1.00893878 -0.95753782 -0.89354557]
2008,-0.96992217590306207,1.3469998836517334,[-0.93808065 -1.05428723 -1.00088165 -1.02835801 -0.82800334]
2009,-0.93761556690855097,1.4040000438690186,[-0.87439355 -1.04853498 -0.82830446 -0.94072365 -0.99612119]
2010,-1.0279027521118971,1.633000135421753,[-1.03124493 -0.92743731 -0.97158528 -1.08996598 -1.11928026]
2011,-1.0053937966143038,1.4159998893737793,[-1.01700789 -0.97268405 -1.02874607 -1.00166096 -1.00687001]
2012,-1.018500535749941,1.3229999542236328,[-0.9378716  -0.90691497 -1.12897386 -1.05972712 -1.05901512]
2013,-0.98385934442564993,1.3530001640319824,[-0.88294609 -0.91251582 -1.14680134 -1.04338671 -0.93364676]
2014,-1.0755635869825713,1.239999771118164,[-1.0676706  -0.89794801 -1.27008887 -0.93699662 -1.20511383]
