Year,Mean Absolute Error,Time Spent (s),Error for each fold
1961,-3.4038691574742934,0.38000011444091797,[-2.93584016 -4.29971054 -3.11443023 -3.03544086 -3.633924  ]
1962,-3.5292226865236911,0.32200002670288086,[-3.46443301 -4.38546886 -3.46632531 -2.81388935 -3.5159969 ]
1963,-3.0932959547824357,0.2990000247955322,[-2.92121349 -2.35351009 -3.58024257 -3.0671365  -3.54437713]
1964,-5.3589807717496543,0.3169999122619629,[ -3.89006821  -3.94254906  -4.32922658 -10.36096347  -4.27209653]
1965,-3.3165424162171662,0.30900001525878906,[-2.91509497 -3.07703199 -3.61859393 -3.25932794 -3.71266326]
1966,-3.5591188228832094,0.3229999542236328,[-3.24023162 -2.43016687 -3.25014278 -5.77915584 -3.09589701]
1967,-3.4356041633971701,0.33100008964538574,[-3.00851665 -2.28750392 -3.55696681 -5.72463496 -2.60039847]
1968,-3.2182211773446197,0.3359999656677246,[-2.66620345 -2.76159381 -3.10982407 -3.81344457 -3.74003999]
1969,-3.4495686076254679,0.315000057220459,[-4.14073062 -2.46596367 -2.92339996 -4.10276573 -3.61498307]
1970,-3.0301050804696503,0.5929999351501465,[-3.22769147 -2.49888916 -2.95266922 -3.32361077 -3.14766478]
1971,-3.981307440155109,0.5199999809265137,[-4.1574175  -3.39225344 -3.94769045 -4.10363501 -4.3055408 ]
1972,-4.1147715031867467,0.5490000247955322,[-2.70837002 -3.42791861 -5.1740465  -4.82012495 -4.44339744]
1973,-3.7815182066429962,0.4960000514984131,[-3.30909909 -3.64014464 -4.38640206 -3.99633544 -3.57560982]
1974,-4.4068384207900451,0.5469999313354492,[-4.1228475  -4.37177981 -4.64169847 -4.42632437 -4.47154195]
1975,-4.1721489181629341,0.564000129699707,[-4.19433298 -3.14361878 -5.12093606 -3.88991956 -4.51193721]
1976,-3.5621441322062966,0.560999870300293,[-3.67928166 -3.57528883 -3.56244792 -2.69673305 -4.2969692 ]
1977,-4.0356774292216775,0.5740001201629639,[-4.79194589 -3.42000951 -3.6323722  -4.22998051 -4.10407904]
1978,-4.0138686326356989,0.5309998989105225,[-4.73837998 -3.30865565 -4.02483321 -3.82636273 -4.17111159]
1979,-4.7694534835527289,0.5439999103546143,[-4.95805084 -3.76933512 -6.81370662 -3.67759039 -4.62858446]
1980,-3.4366015971320438,0.7660000324249268,[-4.98277775 -2.88210552 -3.30078909 -3.31434081 -2.70299481]
1981,-3.555490799762822,0.6660001277923584,[-4.28623442 -3.60064789 -3.74850537 -2.64749164 -3.49457468]
1982,-3.7207234943997691,0.679999828338623,[-4.05508964 -3.15617945 -3.26451646 -4.10373723 -4.02409469]
1983,-3.2849096799790614,0.7200000286102295,[-3.28226366 -2.71724087 -3.59776626 -3.86378229 -2.96349531]
1984,-3.2377628130138802,0.626000165939331,[-3.5593575  -2.70827349 -3.06003718 -3.33406943 -3.52707647]
1985,-3.1029743191259351,0.8639998435974121,[-3.61325964 -2.87327921 -3.47212409 -2.58559016 -2.97061849]
1986,-3.379414086612468,0.6800000667572021,[-3.55492133 -3.45688954 -2.83915437 -3.47681325 -3.56929194]
1987,-3.6637330276246516,0.6710000038146973,[-3.4574867  -2.43813898 -4.03313075 -4.8833784  -3.50653031]
1988,-3.4448309190504505,0.7200000286102295,[-3.07360943 -2.40605125 -5.40131062 -3.10507964 -3.23810366]
1989,-4.065692805854404,0.7949998378753662,[-3.65781103 -2.73817937 -6.22489132 -3.30862529 -4.39895702]
1990,-4.328042723079089,1.067000150680542,[-4.1298219  -4.1077532  -6.43402945 -3.78715376 -3.18145532]
1991,-5.0795089556590911,0.7990000247955322,[-5.05144902 -5.01403582 -6.08138709 -4.20033312 -5.05033973]
1992,-3.8878404149166883,0.8309998512268066,[-4.6332259  -3.29895881 -4.2452942  -3.20932797 -4.0523952 ]
1993,-4.0757256667152166,0.814000129699707,[-4.06605695 -3.83797753 -3.99035073 -3.48090478 -5.00333834]
1994,-3.2063413651713475,0.818000078201294,[-3.83751361 -1.67441579 -2.98790388 -3.64882978 -3.88304377]
1995,-3.402096468620015,0.9589998722076416,[-5.10495005 -3.62668708 -2.57031137 -2.58136245 -3.12717139]
1996,-4.9903610525621449,0.9160001277923584,[-4.39986056 -4.78291996 -5.60778872 -4.61365766 -5.54757837]
1997,-3.1240322174313486,0.8909997940063477,[-2.71047548 -3.48472317 -3.77162513 -2.65743444 -2.99590287]
1998,-2.8634146244139993,0.9060001373291016,[-2.95041336 -2.3810973  -3.1681326  -2.44233241 -3.37509746]
1999,-2.6344594952729126,0.9500000476837158,[-2.59427    -2.13229282 -2.32898213 -2.68363732 -3.43311521]
2000,-2.8087718480002488,1.1699998378753662,[-2.71347585 -2.63250525 -2.85838205 -2.82291548 -3.01658061]
2001,-2.5396608141818064,1.0240001678466797,[-2.24289633 -1.95332263 -2.88431075 -2.11906519 -3.49870917]
2002,-2.8311484723934273,1.0920000076293945,[-2.76903493 -2.35873041 -4.18179636 -2.04900025 -2.79718041]
2003,-3.0701184756408502,1.0709998607635498,[-3.00676714 -3.13620164 -3.31158714 -2.85390481 -3.04213165]
2004,-2.5590602360757493,1.2860000133514404,[-3.20924601 -2.39765529 -2.9035788  -1.8339996  -2.45082148]
2005,-2.5039137993445997,1.3600001335144043,[-2.99287341 -2.02564079 -2.05449704 -2.43532025 -3.01123751]
2006,-2.534098180704595,1.3799998760223389,[-3.580282   -2.05923679 -2.62676184 -2.04410725 -2.36010302]
2007,-2.5387038576873922,1.4210000038146973,[-2.40474432 -2.27484219 -2.72935965 -2.49030463 -2.79426851]
2008,-3.3771536149317947,1.4509999752044678,[-3.52287835 -3.0576315  -3.6349279  -2.84089732 -3.829433  ]
2009,-2.6711906945323811,1.50600004196167,[-2.86422654 -2.45720407 -3.00922496 -2.2896189  -2.735679  ]
2010,-2.7898492843033713,1.6570000648498535,[-1.83397837 -2.88884269 -3.41198695 -2.86411671 -2.95032171]
2011,-4.2617368142292849,1.4639999866485596,[-2.66879257 -3.9076213  -5.24743779 -3.61665152 -5.86818089]
2012,-2.4645835678159171,1.3799998760223389,[-2.95221713 -2.35386154 -2.85538434 -1.99447892 -2.16697592]
2013,-1.786411650520126,1.4010000228881836,[-1.61076039 -1.78070455 -2.34532683 -1.53274334 -1.66252315]
