0811-All-N-MIC,0811-All-N-FST,0811-All-P-MIC,0811-All-P-FST,0811-Ext-N-MIC,0811-Ext-N-FST,0811-Ext-P-MIC,0811-Ext-P-FST
0833: GNI per capita growth  (annual %) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,0803: GDP growth  (annual %) - WDI,0803: GDP growth  (annual %) - WDI,0442: Water productivity; total  (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,0757: Services; etc.; value added  (annual % growth) - WDI,3307: Financial deficit by rural / urban areas (% of population not covered due to financial resource defi/ Geographical coverage = Rural (Units Percentage) - ILO
0826: GNI growth  (annual %) - WDI,0728: External balance on goods and services  (constant LCU) - WDI,0833: GNI per capita growth  (annual %) - WDI,0833: GNI per capita growth  (annual %) - WDI,1183: Employment in services; female  (% of female employment) - WDI,0728: External balance on goods and services  (constant LCU) - WDI,0746: Industry; value added  (annual % growth) - WDI,0759: Services; etc.; value added  (% of GDP) - WDI
0442: Water productivity; total  (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal) - WDI,0655: Armed forces personnel  (% of total labor force) - WDI,0826: GNI growth  (annual %) - WDI,3307: Financial deficit by rural / urban areas (% of population not covered due to financial resource defi/ Geographical coverage = Rural (Units Percentage) - ILO,1184: Employment in services; male  (% of male employment) - WDI,0655: Armed forces personnel  (% of total labor force) - WDI,0678: Household final consumption expenditure per capita growth  (annual %) - WDI,0427: Population density  (people per sq. km of land area) - WDI
1183: Employment in services; female  (% of female employment) - WDI,1407: Battle-related deaths  (number of people) - WDI,0783: Adjusted net national income per capita  (annual % growth) - WDI,0826: GNI growth  (annual %) - WDI,1134: Employment in agriculture; male  (% of male employment) - WDI,1407: Battle-related deaths  (number of people) - WDI,0669: Household final consumption expenditure; etc.  (annual % growth) - WDI,3305: Financial deficit by rural / urban areas (% of population not covered due to financial resource defi/ Geographical coverage = National (Units Percentage) - ILO
1184: Employment in services; male  (% of male employment) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,0757: Services; etc.; value added  (annual % growth) - WDI,0759: Services; etc.; value added  (% of GDP) - WDI,1960: Projections for total (recorded + unrecorded) alcohol per capita (15+) consumption - WHO,1895: Mobile-cellular telephone subscriptions - ITU,0675: Household final consumption expenditure  (annual % growth) - WDI,0191: Short-term debt  (% of total external debt) - WDI
1134: Employment in agriculture; male  (% of male employment) - WDI,1409: Internally displaced persons  (number; low estimate) - WDI,0746: Industry; value added  (annual % growth) - WDI,0427: Population density  (people per sq. km of land area) - WDI,0526: Compensation of employees  (current LCU) - WDI,1409: Internally displaced persons  (number; low estimate) - WDI,0684: Final consumption expenditure; etc.  (annual % growth) - WDI,0746: Industry; value added  (annual % growth) - WDI
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0678: Household final consumption expenditure per capita growth  (annual %) - WDI,3305: Financial deficit by rural / urban areas (% of population not covered due to financial resource defi/ Geographical coverage = National (Units Percentage) - ILO,0596: Patent applications; residents - WDI,0488: Risk premium on lending  (lending rate minus treasury bill rate; %) - WDI,0708: Gross fixed capital formation  (annual % growth) - WDI,0757: Services; etc.; value added  (annual % growth) - WDI
1960: Projections for total (recorded + unrecorded) alcohol per capita (15+) consumption - WHO,0488: Risk premium on lending  (lending rate minus treasury bill rate; %) - WDI,0780: Adjusted net national income  (annual % growth) - WDI,0191: Short-term debt  (% of total external debt) - WDI,0757: Services; etc.; value added  (annual % growth) - WDI,2706: Failed States Index Rank - Fund for Peace,0740: Manufacturing; value added  (annual % growth) - WDI,3306: Financial deficit by rural / urban areas (% of population not covered due to financial resource defi/ Geographical coverage = Urban (Units Percentage) - ILO
0526: Compensation of employees  (current LCU) - WDI,2706: Failed States Index Rank - Fund for Peace,0669: Household final consumption expenditure; etc.  (annual % growth) - WDI,0746: Industry; value added  (annual % growth) - WDI,0678: Household final consumption expenditure per capita growth  (annual %) - WDI,0229: Interest payments on external debt  (% of GNI) - WDI,1024: Cause of death; by non-communicable diseases  (% of total) - WDI,0799: Mineral rents  (% of GDP) - WDI
0811: GDP per capita growth  (annual %) - WDI,0229: Interest payments on external debt  (% of GNI) - WDI,0675: Household final consumption expenditure  (annual % growth) - WDI,0757: Services; etc.; value added  (annual % growth) - WDI,1904: Total density per million population: Radiotherapy units - WHO,1065: Low-birthweight babies  (% of births) - WDI,0717: Gross capital formation  (annual % growth) - WDI,0355: Access to electricity; rural  (% of rural population) - WDI
